,name,online_order,rate,votes,location,rest_type,approx_cost
13577,Mamaji's,Yes,3.6,453,Electronic City,Casual Dining,600
13578,Bangaliana,Yes,3.0,61,Electronic City,Casual Dining,600
13579,Tuba Rolls & Snacks,Yes,3.0,58,Electronic City,Quick Bites,200
13580,Peril Enthirikkunnu,Yes,0.0,0,Electronic City,Quick Bites,250
13581,Wangs Kitchen,Yes,2.0,55,Electronic City,"Takeaway, Delivery",1000
13582,Aunty Kitchen,Yes,0.0,0,Electronic City,Quick Bites,700
13583,New Food Magic,Yes,3.2,153,Electronic City,Casual Dining,450
13584,True South,Yes,0.0,0,Electronic City,Quick Bites,200
13585,Akshara,Yes,3.8,42,Electronic City,Casual Dining,700
13586,Kittu's,Yes,4.2,800,Electronic City,Casual Dining,750
13587,EC Dine Restaurant,Yes,3.4,23,Electronic City,Casual Dining,500
13588,Bangarpet Chats Adda,Yes,0.0,0,Electronic City,Quick Bites,200
13589,Udupi Food Junction,Yes,3.0,9,Electronic City,Quick Bites,250
13590,She Brews,Yes,3.8,159,Electronic City,Cafe,400
13591,Delhi Food Factory,Yes,0.0,0,Electronic City,Delivery,500
13592,Maa Biryani Hyderabadi,Yes,2.6,59,Electronic City,Delivery,450
13593,Omleterian,Yes,0.0,0,Electronic City,Quick Bites,200
13594,Chef Baker's,Yes,3.8,101,Electronic City,"Bakery, Quick Bites",600
13595,Curries 'N' Phulkas,Yes,3.4,6,Electronic City,Quick Bites,250
13596,Donut Cafe,Yes,3.9,163,Electronic City,"Dessert Parlor, Quick Bites",250
13597,Halli Kitchen,Yes,2.0,63,Electronic City,Quick Bites,300
13598,Hotel Uma Bhai,Yes,3.7,38,Electronic City,Quick Bites,400
13599,Kettle & Kegs,Yes,3.1,16,Electronic City,Delivery,200
13600,Biggies Burger 'n' More,Yes,3.9,176,Electronic City,Quick Bites,650
13601,Food Singh,Yes,0.0,0,Electronic City,Delivery,500
13602,Vov Shawarma,Yes,3.2,6,Electronic City,Quick Bites,200
13603,7 Shanghai,Yes,3.0,18,Electronic City,Quick Bites,250
13604,Chination,Yes,0.0,0,Electronic City,Delivery,600
13605,Annapurna Andhra Hotel,Yes,3.3,5,Electronic City,Quick Bites,400
13606,Hotel Avakay,Yes,3.6,27,Electronic City,Casual Dining,550
13607,BIB - Breakfast in the Box,Yes,3.9,56,Electronic City,Quick Bites,600
13608,Chivi's Meilleurs Boulangers,Yes,3.4,12,Electronic City,Quick Bites,300
13609,Mr. Meetharam,Yes,3.3,7,Electronic City,Quick Bites,150
13610,King's Appetite,Yes,3.7,45,Electronic City,"Food Court, Quick Bites",500
13611,Thanco's Natural Ice Creams,Yes,3.7,54,Electronic City,Dessert Parlor,450
13612,Cakes Wagon,Yes,3.4,36,Electronic City,Bakery,600
13613,Cake Menu,Yes,3.3,23,Electronic City,Bakery,400
13614,A2B - Adyar Ananda Bhavan,Yes,3.1,352,Electronic City,Casual Dining,400
13615,Pot Biryani,Yes,2.8,297,Electronic City,Quick Bites,600
13616,Chawla's 2 Online.com,Yes,0.0,0,Electronic City,Delivery,800
13617,Hottey Smokey,Yes,0.0,0,Electronic City,"Takeaway, Delivery",400
13618,OrganicFeast,Yes,2.9,45,Electronic City,Quick Bites,400
13619,Manasa Andhra Style Multi Cuisine Restaurant,No,3.6,70,Electronic City,Casual Dining,800
13620,Akkad Bakkad,Yes,3.9,72,Electronic City,Casual Dining,600
13621,Meat and Eat,Yes,3.4,19,Electronic City,Quick Bites,500
13622,The Chocolate Room,Yes,2.8,43,Electronic City,Cafe,600
13623,Hotel Shruthi,Yes,3.0,13,Electronic City,Quick Bites,200
13624,Kababish Restaurant,Yes,0.0,0,Electronic City,Quick Bites,500
13625,Crumbz Crunches,Yes,3.1,44,Electronic City,Quick Bites,450
13626,Delhi Fast Food,Yes,0.0,0,Electronic City,Quick Bites,100
13627,The Milkshake Co and More,Yes,0.0,0,South Bangalore,"Takeaway, Delivery",250
13628,Mumbai Kulfi,Yes,3.7,61,Electronic City,Dessert Parlor,100
13629,Alikemom,Yes,0.0,0,Electronic City,"Takeaway, Delivery",300
13630,Sky Lounge Bar - Svenska Design Hotel,Yes,4.0,537,Electronic City,"Bar, Casual Dining",1500
13631,Foodie Nation,Yes,3.0,89,Electronic City,Casual Dining,1000
13632,Chilli Park,Yes,0.0,0,Electronic City,Quick Bites,300
13633,Gilly's Restobar,No,4.3,1249,Electronic City,"Pub, Casual Dining",1200
13634,Spicy Tandoor,Yes,2.7,39,Electronic City,"Takeaway, Delivery",400
13635,Parivaar Eat House,Yes,0.0,0,Electronic City,Delivery,500
13636,Messy's,Yes,3.8,108,Electronic City,Quick Bites,400
13637,Entree cafe,Yes,3.7,56,Electronic City,"Cafe, Bakery",400
13638,Rayalaseema Ruchulu SR,Yes,3.2,9,Electronic City,"Takeaway, Delivery",300
13639,Andhra Biryani & Curries,Yes,3.1,4,Electronic City,Quick Bites,400
13640,Reddy's Hyderabadi Biryani,Yes,2.7,76,Electronic City,"Takeaway, Delivery",500
13641,Mughlai Kitchen,Yes,0.0,0,Electronic City,0,600
13642,The Platonic Cafe,Yes,0.0,0,Electronic City,Cafe,500
13643,Juicy,Yes,3.9,37,Electronic City,"Beverage Shop, Quick Bites",200
13644,Flying Cakes,Yes,3.1,127,Electronic City,Bakery,500
13645,Manasa Cool Cafe,Yes,3.2,7,Electronic City,Cafe,300
13646,Godavari Delights,Yes,3.0,11,Electronic City,Casual Dining,400
13647,Domino's Pizza,Yes,2.7,477,Electronic City,Quick Bites,400
13648,Royal Iceberry,Yes,3.4,5,Electronic City,Dessert Parlor,200
13649,Biryani Darbar,Yes,3.3,12,Electronic City,Casual Dining,600
13650,Petoo,Yes,3.6,55,Electronic City,Food Court,400
13651,Just Cakes,Yes,3.4,22,Electronic City,Bakery,350
13652,Andhra Amigos,Yes,3.6,81,Electronic City,Casual Dining,350
13653,Kritunga Restaurant,No,3.8,473,Electronic City,Casual Dining,650
13654,Srinidhi Grand,Yes,0.0,0,Electronic City,Quick Bites,150
13655,Shake The Shake,Yes,0.0,0,Electronic City,Beverage Shop,200
13656,McDonald's,Yes,3.3,5,Bommanahalli,Quick Bites,500
13657,Uma Ki Rasoi,Yes,3.9,40,Electronic City,Quick Bites,250
13658,Momo Time,Yes,0.0,0,Electronic City,Quick Bites,400
13659,Chick Blast,No,3.3,6,Electronic City,Quick Bites,400
13660,Masale Daan,Yes,0.0,0,Electronic City,Delivery,350
13661,Today Coffee,Yes,0.0,0,Electronic City,Quick Bites,150
13662,Sankalp Reddy Restaurant,Yes,3.9,33,Electronic City,Quick Bites,300
13663,Millennium Plaza,Yes,3.4,19,Electronic City,Casual Dining,700
13664,Sitara Veg Restaurant,Yes,3.9,417,Electronic City,Quick Bites,400
13665,Lassi Corner,Yes,3.7,28,Electronic City,Beverage Shop,150
13666,Sweet Chariot,Yes,3.0,60,Electronic City,Dessert Parlor,500
13667,Hyderabadi Biryani Flames,Yes,0.0,0,Electronic City,"Takeaway, Delivery",300
13668,Hotel Ranga,Yes,0.0,0,Electronic City,Quick Bites,400
13669,Seasons,Yes,2.9,380,Electronic City,Casual Dining,1000
13670,Cedar Bar & Dive - Hotel Presidency,Yes,3.8,49,Electronic City,Bar,1200
13671,Juicemaker,No,3.9,31,Electronic City,Beverage Shop,400
13672,Cuppa,Yes,3.0,119,Electronic City,Cafe,700
13673,Lord of Combos,Yes,0.0,0,Electronic City,Quick Bites,500
13674,Just Bake,Yes,3.2,14,Electronic City,"Bakery, Quick Bites",400
13675,Vinaya Royal Inn,Yes,3.1,5,Electronic City,Casual Dining,500
13676,Bamboo Shades,Yes,2.8,48,Electronic City,Casual Dining,1000
13677,Meridian South - A Pure Vegetarian Restaurant,No,0.0,0,Electronic City,Casual Dining,600
13678,Tap House Resto Bar,Yes,3.4,184,Electronic City,"Casual Dining, Bar",900
13679,Kabab Souq,No,3.4,7,Electronic City,Quick Bites,400
13680,Aagaman Veg,Yes,0.0,0,Electronic City,Casual Dining,900
13681,French Bake House,Yes,3.7,91,Electronic City,Bakery,200
13682,Apsara Ice Cream,No,4.0,67,Electronic City,Dessert Parlor,200
13683,Mesa Deli - Svenska Design Hotel,Yes,3.2,9,Electronic City,Casual Dining,600
13684,Indian Kitchen - Hotel Presidency,Yes,3.0,8,Electronic City,Casual Dining,1000
13685,Salt N Pepper,No,3.6,74,Electronic City,Casual Dining,500
13686,Punjab Calling,Yes,3.7,10,Electronic City,Quick Bites,400
13687,Hanchi Thinnuva,Yes,3.0,17,Electronic City,Quick Bites,300
13688,Venadu Restaurant,No,3.4,7,Electronic City,Casual Dining,700
13689,Chill Out Cafe,No,3.0,11,Electronic City,Quick Bites,350
13690,Trisha's Kitchen,Yes,3.2,4,Electronic City,"Takeaway, Delivery",300
13691,Just Homely,Yes,0.0,0,Electronic City,"Takeaway, Delivery",300
13692,Nandanam Family Restaurant,No,3.3,4,Electronic City,Quick Bites,400
13693,Mohabbat Desi Restaurant,No,0.0,0,0,0,0
13694,Hello Cafe,No,0.0,0,Electronic City,Quick Bites,200
13695,Food Point Family Restauarant,Yes,3.3,6,Electronic City,Casual Dining,700
13696,Kababish Sizzler,No,0.0,0,Electronic City,Quick Bites,250
13697,#Vibes Restro,No,0.0,0,Electronic City,Casual Dining,700
13698,Soul Curry Restaurant,No,3.6,18,Electronic City,"Casual Dining, Bar",600
13699,Time Traveller - Sai Vishram,Yes,4.2,882,Electronic City,Casual Dining,1100
13700,Ragi Nadu,No,3.0,13,Electronic City,Quick Bites,450
13701,Rolls On Wheels,No,2.7,23,Electronic City,Quick Bites,300
13702,Basaveshwara Khanavali,No,0.0,0,Electronic City,Quick Bites,100
13703,Mesa Lounge Bar - Svenska Design Hotel,No,3.0,49,Electronic City,Lounge,1500
13704,Pulla Reddy Sweets,No,3.0,22,Electronic City,Dessert Parlor,250
13705,Food 4 U,No,3.6,34,Electronic City,Quick Bites,400
13706,Half Girlfriend,Yes,0.0,0,Electronic City,Quick Bites,600
13707,The Hungry,Yes,3.6,20,Electronic City,Quick Bites,400
13708,Green Family Bar & Restaurant,No,3.0,57,Electronic City,Casual Dining,1000
13709,Chinmayee's,No,3.1,83,Electronic City,Casual Dining,700
13710,Tellimagic Restaurant,Yes,3.0,12,Electronic City,Quick Bites,400
13711,SFC Kabab Corner,No,3.6,14,Electronic City,Quick Bites,350
13712,Royal Chowpatty,No,3.7,14,Electronic City,Quick Bites,100
13713,New Aastha,Yes,3.6,34,Electronic City,Quick Bites,250
13714,Food Club Restaurant,No,3.7,45,Electronic City,Casual Dining,500
13715,Bhojanam Restaurant,No,3.6,196,Electronic City,Casual Dining,600
13716,Ruchie Rich,No,3.0,134,Electronic City,Quick Bites,200
13717,Balaji Foods,No,0.0,0,Electronic City,"Takeaway, Delivery",250
13718,Ruchimayam Restaurant,No,0.0,0,Electronic City,Quick Bites,350
13719,RK Garden Family Restaurant,No,3.0,17,Electronic City,Casual Dining,600
13720,Sai Grand,No,0.0,0,Electronic City,Quick Bites,200
13721,The Dining Table - Sahar Pavillion,No,3.7,74,Electronic City,"Casual Dining, Bar",1500
13722,Vijayawadawari Sandhya Andhra Mess,Yes,3.4,10,Electronic City,Quick Bites,400
13723,Eden Huts Dhaba,No,3.6,33,Electronic City,Casual Dining,500
13724,Silicon Spicy Bite & Sip,No,0.0,0,Electronic City,Quick Bites,200
13725,Samrudhi,No,2.9,18,Electronic City,Casual Dining,450
13726,Hotel Food Zone,No,3.3,9,Electronic City,Quick Bites,350
13727,Magic Oven,No,4.0,134,Electronic City,"Cafe, Dessert Parlor",400
13728,Amaravati,No,0.0,0,Electronic City,Casual Dining,600
13729,NMR Multicuisine Restaurant,Yes,3.6,9,Electronic City,Casual Dining,550
13730,Oasis Restaurant,No,2.9,28,Electronic City,Casual Dining,550
13731,Swad,No,3.7,38,Electronic City,Casual Dining,500
13732,Salt And Spice,No,3.2,77,Electronic City,Quick Bites,450
13733,The Hungry Shark Cafe,No,3.9,117,Electronic City,Cafe,700
13734,Hotel Green Palace,No,0.0,0,Electronic City,Quick Bites,200
13735,Just Like Mum's,No,0.0,0,Electronic City,Bakery,200
13736,Galaxy Kebabs & Curries,No,0.0,0,Electronic City,Casual Dining,650
13737,Burmans Home Food,No,0.0,0,Electronic City,Quick Bites,300
13738,Bawarchi,No,3.0,29,Electronic City,Quick Bites,400
13739,Kinara Family Restaurant,No,3.0,11,Electronic City,Casual Dining,600
13740,Food Planet,No,3.1,5,Electronic City,Quick Bites,400
13741,Bachelor's Special Biriyani,No,3.3,6,Electronic City,Quick Bites,250
13742,E Foods Regalia,No,3.1,11,Electronic City,Quick Bites,550
13743,Malabar Restaurant,No,3.6,19,Electronic City,Quick Bites,400
13744,Cake Point,No,0.0,0,Electronic City,Quick Bites,300
13745,Hotel Fresh N Tasty,No,0.0,0,Electronic City,Quick Bites,300
13746,Indulge,No,0.0,0,Electronic City,Bakery,200
13747,Nomnom,No,0.0,0,Electronic City,Delivery,400
13748,24 Hours Cake Delivery,No,0.0,0,Electronic City,Delivery,700
13749,Bak'd Goodies,No,0.0,0,Electronic City,Bakery,350
13750,Nasma Restaurant,No,0.0,0,Electronic City,Casual Dining,550
13751,Healthy Bill,No,0.0,0,Electronic City,Quick Bites,200
13752,Arya Bhavan Sweets,No,0.0,0,Electronic City,Sweet Shop,300
13753,Jyoti's Kitchen-Donne Biryani,No,0.0,0,Electronic City,Quick Bites,300
13754,RK Foods,No,0.0,0,Electronic City,Quick Bites,300
13755,Amaravathi Andhra Mess,No,0.0,0,Electronic City,Quick Bites,300
13756,Delish Mom Food,No,0.0,0,Electronic City,Delivery,300
13757,Casamia Restaurant,No,0.0,0,Electronic City,Quick Bites,400
13758,Casamia Restaurant,No,0.0,0,Electronic City,Quick Bites,400
13759,KATOOTA,No,0.0,0,Electronic City,Quick Bites,300
13760,Rayalaseema Ruchulu,No,0.0,0,Electronic City,Casual Dining,700
13761,Andhra Chettinad Cuisine,No,3.6,24,Electronic City,Quick Bites,250
13762,Varenyam,No,3.7,56,Electronic City,Casual Dining,500
13763,Choconut,No,0.0,0,Electronic City,Beverage Shop,300
13764,Fumzas Dine,No,0.0,0,Electronic City,Quick Bites,400
13765,Sri Mandarathi,No,0.0,0,Electronic City,"Quick Bites, Beverage Shop",350
13766,Biryani Centre,No,0.0,0,Electronic City,Quick Bites,300
13767,Hotel Sinchara,No,0.0,0,Electronic City,Casual Dining,500
13768,ABCD - Anybody Can Dine,No,0.0,0,Electronic City,Quick Bites,500
13769,Oven Fresh,No,0.0,0,Electronic City,Quick Bites,550
13770,Cake Dilim,No,3.2,6,Electronic City,Bakery,400
13771,The Veggies,No,0.0,0,Electronic City,Quick Bites,200
13772,Cafe Light House,No,0.0,0,Electronic City,Quick Bites,500
13773,RICE BAR,No,0.0,0,Electronic City,Delivery,500
13774,Chillout,No,0.0,0,Electronic City,Quick Bites,300
13775,The French Loaf,No,0.0,0,Electronic City,Bakery,400
13776,Goodness! Beverages,No,0.0,0,Electronic City,Delivery,250
13777,Pandit Ji Sweets & Namkeen,No,0.0,0,Electronic City,Quick Bites,300
13778,Gugu Fast Foods & Snacks,No,0.0,0,Electronic City,Quick Bites,350
13779,The Tasty Food,No,0.0,0,Electronic City,Delivery,200
13780,MGR Foods,No,0.0,0,Electronic City,Quick Bites,300
13781,AJ Ambur Star Biriyani,No,0.0,0,Electronic City,Quick Bites,300
13782,BJM Restaurant & Cafe,No,0.0,0,Electronic City,Quick Bites,350
13783,Zinger Cafe,No,0.0,0,Electronic City,"Quick Bites, Beverage Shop",300
13784,Venkataramana Nellore Mess,No,0.0,0,Electronic City,Quick Bites,200
13785,The Cakesplorer,No,0.0,0,Electronic City,Delivery,400
13786,Sruthi Mess,No,0.0,0,Electronic City,Mess,300
13787,Dilli Tadka,No,0.0,0,Electronic City,"Takeaway, Delivery",300
13788,B Penguin Restaurant & Cafe,No,0.0,0,Electronic City,Quick Bites,300
13789,Vigneshwara Mess,No,0.0,0,Electronic City,Mess,200
13790,Ambur Chicken Biryani,No,0.0,0,Electronic City,Quick Bites,150
13791,Star Cafe Hotel,No,0.0,0,Electronic City,Quick Bites,350
13792,Samruddhi Restaurant,No,0.0,0,Electronic City,Casual Dining,500
13793,Hotel Malabar,No,0.0,0,Electronic City,Casual Dining,400
13794,Anil Andhra Curry Point,No,0.0,0,Electronic City,Quick Bites,400
13795,Eatery,No,0.0,0,Electronic City,Quick Bites,100
13796,DIET Cravers,No,0.0,0,Electronic City,"Takeaway, Delivery",300
13797,Shivshankar Hotel,No,0.0,0,Electronic City,Quick Bites,350
13798,New Kshatriya Dum Biryani,No,0.0,0,Electronic City,Quick Bites,350
13799,The Juice Shop,No,0.0,0,Electronic City,Quick Bites,200
13800,Reyniks Flavours,No,0.0,0,Electronic City,Quick Bites,150
13801,Sweet Revenge Bake N Cafe,No,0.0,0,Electronic City,Quick Bites,200
13802,Cakea,No,0.0,0,Electronic City,Delivery,300
13803,VMS Star Biriyani,No,3.1,5,Electronic City,Quick Bites,350
13804,MBR Dum Biryani County,No,3.0,24,Electronic City,Quick Bites,150
13805,Desi Breakk,No,3.6,29,Electronic City,Quick Bites,150
13806,Bengaluru Restaurant,No,3.1,22,Electronic City,Casual Dining,1500
13807,S R Andhra Mess,No,3.3,16,Electronic City,Mess,200
13808,Akshay Biryani Paradise,No,0.0,0,Electronic City,Quick Bites,350
13809,Shiv Shankar Hotel,No,3.0,10,Electronic City,Quick Bites,350
13810,Gourmet,No,3.0,12,Electronic City,Casual Dining,800
13811,New Hyderabadi Biryani House,No,0.0,0,Electronic City,Casual Dining,600
13812,Vibgyor Kitchen,No,0.0,0,Electronic City,Quick Bites,350
13813,NightOwl,No,2.7,31,Electronic City,"Takeaway, Delivery",400
13814,Big Apple Restaurant,No,3.2,4,Electronic City,Quick Bites,300
13815,Hotel The Nalanda,No,3.2,4,Electronic City,Casual Dining,700
13816,The Right Moo Organic Icecreams,No,0.0,0,Electronic City,Dessert Parlor,300
13817,Pepper Pillar,No,3.4,11,Electronic City,Casual Dining,700
13818,Cool Treat Cafe & Cakes,No,0.0,0,Electronic City,Bakery,300
13819,Hotel A-1,No,3.3,5,Electronic City,Quick Bites,300
13820,Naidu Hotel,No,0.0,0,Electronic City,Quick Bites,200
13821,Andhra Mess,No,3.4,8,Electronic City,Mess,200
13822,Vasu Biriyani Paradise,No,3.1,6,Electronic City,Quick Bites,350
13823,Dilli 6,No,3.2,26,Electronic City,Casual Dining,450
13824,Yum Kitchen,No,2.8,29,Electronic City,"Takeaway, Delivery",600
13825,MK Dabbawala,No,3.2,17,Electronic City,Delivery,400
13826,The Magic Chef,No,3.7,28,Electronic City,Quick Bites,300
13827,Satkar,No,3.6,22,Electronic City,Quick Bites,350
13828,Sandesh Sweets & Chats,No,2.9,126,Electronic City,Quick Bites,350
13829,NH7 Resto Pub,No,3.3,6,Electronic City,"Casual Dining, Pub",1400
13830,EatPrayLove,No,0.0,0,South Bangalore,Food Truck,180
13831,Hamara Kozhikode,No,3.3,5,Electronic City,Quick Bites,300
13832,Food Point,No,0.0,0,Electronic City,Quick Bites,300
13833,New Andhra Spice,No,3.3,4,Electronic City,"Takeaway, Delivery",400
13834,New Green Leaf Restaurant,No,3.6,42,Electronic City,Casual Dining,600
13835,Bhukkad,No,3.3,7,Electronic City,Quick Bites,250
13836,Eatsy,No,3.0,12,Electronic City,"Takeaway, Delivery",300
13837,Xpress Kitchen,No,3.3,8,Electronic City,"Takeaway, Delivery",500
13838,Chikeys,No,3.0,19,Electronic City,Quick Bites,400
13839,Bhavya's Kitchen,No,0.0,0,Electronic City,Delivery,350
13840,Momm's The Kitchen,No,3.4,7,Electronic City,Casual Dining,500
13841,The Three Dragons,No,3.3,5,Electronic City,Delivery,400
13842,Zaffron Express,No,3.0,8,Electronic City,Casual Dining,550
13843,Hungry Kya?,No,3.3,8,Electronic City,Quick Bites,400
13844,Hunter's Lounge,No,3.1,9,Electronic City,Casual Dining,500
13845,Polo Scoops,No,3.2,4,Electronic City,Dessert Parlor,200
13846,Green Tree Garden Restaurant,No,3.4,6,Electronic City,Casual Dining,500
13847,Till The Last Bite,No,3.4,7,Electronic City,Quick Bites,300
13848,Sattvic,No,3.0,11,Electronic City,Casual Dining,450
13849,Old Stories,No,3.7,29,Electronic City,Delivery,600
13850,Ham Khim Chinese Fast Food,No,3.1,7,Electronic City,Quick Bites,300
13851,Mast Kalandar,No,2.4,142,Electronic City,Casual Dining,450
13852,The Breakfast Club,No,3.9,90,Electronic City,Delivery,400
13853,HOT BOX,No,3.6,28,Electronic City,Quick Bites,200
13854,4Foodiez - The Restaurant,No,3.0,23,Electronic City,Quick Bites,400
13855,Sapfresh,No,0.0,0,Electronic City,Delivery,150
13856,Biriyani Paradise,No,3.0,18,Electronic City,Casual Dining,550
13857,Marwa Family Restaurant,No,3.0,8,Electronic City,Quick Bites,500
13858,Hotel Sri Chiraag Sagar,No,0.0,0,Electronic City,Quick Bites,400
13859,Tasty Funda,No,3.3,4,Electronic City,Quick Bites,200
13860,Pugals Biriyani,No,3.6,25,Electronic City,Quick Bites,400
13861,Enroute,No,3.6,31,Electronic City,"Takeaway, Delivery",300
13862,Shree Sai Foods,No,0.0,0,Electronic City,Delivery,300
13863,ANR Dum Biryani Centre,No,0.0,0,Electronic City,Quick Bites,350
13864,Nitara Muticuisine Kitchen,No,0.0,0,Electronic City,Quick Bites,300
13865,Edigo,No,0.0,0,Electronic City,Delivery,250
13866,Sai Upahar,No,0.0,0,Electronic City,Quick Bites,200
13867,Lancy Sweets,No,3.7,16,Electronic City,Dessert Parlor,200
13868,SV Crispy Chicken,No,3.0,12,Electronic City,Quick Bites,200
13869,Grand Taj,No,0.0,0,Electronic City,Quick Bites,200
13870,Choconut Cafe,No,3.4,6,Electronic City,Quick Bites,250
13871,Payal Fast Food & Tiffen Centre,No,0.0,0,Electronic City,Quick Bites,100
13872,Fine Dine Restaurant,No,0.0,0,Electronic City,Quick Bites,200
13873,Public Cafe,No,0.0,0,Electronic City,Delivery,700
13874,Nivaan's Kitchen,No,0.0,0,Electronic City,"Takeaway, Delivery",600
13875,Lekha's Delicacies,No,0.0,0,Electronic City,"Takeaway, Delivery",300
13876,Rara Avis,No,0.0,0,Electronic City,"Takeaway, Delivery",400
13877,Clean Eats,No,0.0,0,Electronic City,"Takeaway, Delivery",300
13878,Shaadi Ki Biryani,No,0.0,0,Electronic City,"Takeaway, Delivery",600
13879,Arzak,No,0.0,0,Electronic City,"Takeaway, Delivery",300
13880,Desi Tadka,No,3.0,16,Electronic City,Quick Bites,300
13881,Hotel Amrit,No,0.0,0,Electronic City,Quick Bites,250
13882,FAB Cafe,No,3.1,7,Electronic City,Quick Bites,250
13883,Spicy Tadka,No,3.0,47,Electronic City,Delivery,400
13884,Hot & Cool,No,0.0,0,Electronic City,Quick Bites,150
13885,Foodiction,No,0.0,0,Electronic City,Delivery,500
13886,Affa Cafeteria,No,0.0,0,Electronic City,Quick Bites,200
13887,Adya Hotel,No,3.3,4,Electronic City,Quick Bites,400
13888,The US Burger,No,3.0,13,Electronic City,Quick Bites,150
13889,Pehla Niwala,No,2.8,41,Electronic City,Quick Bites,400
13890,The Lemon Grass Kitchen,No,3.3,5,Electronic City,Quick Bites,300
13891,Ayesha Hotel,No,0.0,0,Electronic City,Delivery,500
13892,Bite Sip Repeat,No,3.4,6,Electronic City,Quick Bites,150
13893,White Chillies,No,0.0,0,Electronic City,Quick Bites,300
13894,Mazali,No,0.0,0,Electronic City,Quick Bites,350
13895,Andhra Ruchulu,No,3.3,5,Electronic City,Quick Bites,250
13896,Taste Of Rajasthan,No,0.0,0,Electronic City,Quick Bites,200
13897,Chef Delicacies,No,0.0,0,Electronic City,"Takeaway, Delivery",400
13898,Kulhad Junction,No,0.0,0,Electronic City,Cafe,100
13899,Flavors Restaurant,No,0.0,0,Electronic City,"Takeaway, Delivery",150
13900,Star Briyani,No,0.0,0,Electronic City,Quick Bites,200
13901,Nawabi Kitchen,No,0.0,0,Electronic City,Casual Dining,600
13902,Namma Atithi,No,0.0,0,Electronic City,Quick Bites,200
13903,nu.tree,No,0.0,0,Electronic City,Casual Dining,400
13904,Sandwich Jn,No,0.0,0,Electronic City,Quick Bites,150
13905,Flavour A Azam,No,3.0,42,Electronic City,Quick Bites,400
13906,Bawarchi Restaurant,No,3.1,4,Electronic City,Casual Dining,700
13907,Bhokali Paratha,No,0.0,0,Electronic City,Delivery,400
13908,Curries And Pickles,No,3.6,17,Electronic City,Quick Bites,400
13909,Bhaiya Ji Food Court,No,3.0,8,Electronic City,Quick Bites,300
13910,Chung Wah,No,2.9,95,Electronic City,Casual Dining,500
13911,Madiha Biryani House,No,3.4,13,Electronic City,0,450
13912,JFD Cafe,No,0.0,0,Electronic City,Cafe,400
13913,Xpress Chai,No,0.0,0,Electronic City,"Beverage Shop, Quick Bites",150
13914,Eat Repeat Express,No,3.1,4,Electronic City,Delivery,600
13915,Mustard Food Court,No,3.8,57,Electronic City,Quick Bites,500
13916,Cafe Black Pepper,No,0.0,0,Electronic City,Quick Bites,200
13917,Chokha Zaika,No,0.0,0,Electronic City,Quick Bites,300
13918,Vijayawadavari Sandya Andhra Mess,Yes,3.6,18,Electronic City,Mess,200
13919,E - City Combos,Yes,3.0,6,Electronic City,"Takeaway, Delivery",350
13920,Nesara Upahar,Yes,0.0,0,Electronic City,Quick Bites,250
13921,Hide Out - The Golden Tulip,Yes,3.2,9,Electronic City,Bar,1800
13922,Funky Food,No,0.0,0,Electronic City,Delivery,60
13923,Vyanjan,Yes,3.3,12,Electronic City,Quick Bites,400
13924,Vandana Restaurant,No,0.0,0,Electronic City,Quick Bites,400
13925,Mr. Paratha & Ms. Curry,No,0.0,0,Electronic City,Quick Bites,300
13926,Tempting Aroma,No,0.0,0,Electronic City,Delivery,300
13927,TeamDelish,No,3.4,9,Electronic City,Delivery,300
13928,Mitran Da Adda,No,0.0,0,Electronic City,Quick Bites,350
13929,Amba Food,No,0.0,0,Electronic City,Delivery,180
13930,Krish Kitchen,No,0.0,0,Electronic City,Delivery,300
13931,Oriental Fusion,No,0.0,0,Electronic City,Casual Dining,700
13932,Rags on Fire,Yes,3.1,64,Electronic City,Cafe,600
13933,Patravali Biriyani,Yes,0.0,0,Electronic City,"Takeaway, Delivery",400
13934,Brunch & Munch - Hotel Millennium Plaza,No,3.0,23,Electronic City,Casual Dining,1200
13935,Shoiab Family Restaurant,Yes,3.6,14,Electronic City,Casual Dining,600
13936,Pandit Ji Sweets & Namkeen,Yes,3.6,13,Electronic City,Sweet Shop,300
13937,Ramdev Bhojnalaya,No,3.0,29,Electronic City,Quick Bites,200
13938,Gifts N Surprise,No,0.0,0,Electronic City,Bakery,500
13939,Bangalore Cakes,Yes,2.9,17,Electronic City,Bakery,250
13940,Village Palace,Yes,3.0,46,Electronic City,Quick Bites,250
13941,Super Hyderabadi Dum Biriyani & Combos,No,0.0,0,Electronic City,Quick Bites,300
13942,Hotel Masti,Yes,2.8,25,Electronic City,Delivery,300
13943,Milkshake Kulture,No,3.0,10,Electronic City,Beverage Shop,300
13944,Baskiin's Rabbin,No,0.0,0,Electronic City,Quick Bites,300
13945,Sethi's,Yes,0.0,0,Electronic City,Delivery,600
13946,Krutunga Restaurant,No,3.4,20,Electronic City,Casual Dining,700
13947,The Kitchen,Yes,3.7,28,Electronic City,"Takeaway, Delivery",250
13948,Choco Nut Cafe,Yes,3.2,19,Electronic City,Quick Bites,150
13949,Adyar Anand Bhavan Sweets,No,0.0,0,Electronic City,Quick Bites,200
13950,Magic Packs,Yes,3.1,22,Electronic City,0,300
13951,Aamaravathi Biryani Zone,Yes,0.0,0,Electronic City,Delivery,300
